Initializing internal log file.
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\0b025b60a1bdb09bb706354d428be6b10001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\0ea57c737eb0e36463e4a80ffcfe4874.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\0ea57c737eb0e36463e4a80ffcfe48740003.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\1a7de2de86e2c9348e7a9bff477a024b.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\1a81c4a0a6d910e2ee6166fd68072e100001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\1be78e8640f7850f6d6787eb7358e3da0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\1c56f935fa4d1fc9be888e7bbbc995620001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\1e9fefacdf3167a781c6b6a5a1e415520001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\1f9b3cd8a1e5304a383d62201ec7d8f30001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\1TileNewGearCityLongWindowsDiagonalbyLeesesterMTS.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2a3bb375123a0c836be86ea7e78c7993.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2a3f209ab67b12efba45648b7fbc0cac0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2ba833c59b844dd3d38b82f1c26825a10001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2bb2ab06f146e29885edf491323a557b0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2bcfb41ee9dfc9604cd7c30ba0d78ae70001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2be350f4b2e9d4386f9029318db46fec0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2cf53443ec0e2fe91156c2d81c162abd0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2d5bd08c2ff573c20a7e6c288101ce7c0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2e3001c5d6236fa242d90ddd00f64ae90001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2e597919e7525513ceab1fe46c399ac70001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2e8e24c28d7bb7e7b40bad21bcf28c330002.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2e9c5bff14d7b28f11af79f673925b290002.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2ef235f2763990b8fc7eba3e6e54f1b50003.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2f0628f2895f94adad38af7bab4822d00001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\currenttest\2f3d15de07c65f913156f5198f226ab60001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
